TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3285.856058144029,0.004245763,1482046,1.2563304E7,379.7246,50074.746,56.612965,1.2581354E7,383.4612,0,,,,,710.1550318363851,2.7642196E-5,1196.3408689179053,4.2187495E-4,-0.01690212,0.027748495
3285.857447056964,0.004245788,1482047,1.2564096E7,379.7324,50086.664,56.56598,1.2578194E7,383.46906,0,,,,,710.1560041826705,2.7643513E-5,1196.343749376768,4.2187603E-4,-0.016621554,0.030600358
3285.858835969899,0.0042458125,1482048,1.2563415E7,379.72235,50074.97,56.561623,1.2570209E7,383.45892,0,,,,,710.1606262525136,2.7640064E-5,1196.3307749559717,4.2183336E-4,-0.01167408,0.021060973
3285.860224882367,0.0042458368,1482049,1.2563623E7,379.72342,49984.62,56.54651,1.2588023E7,383.46002,0,,,,,710.1569336270863,2.7669548E-5,1196.331293045432,4.2129052E-4,-0.015686883,0.025343401
3285.861613795302,0.0042458614,1482050,1.2563224E7,379.72266,50030.004,56.578312,1.2585022E7,383.45923,0,,,,,710.1559009881853,2.7646576E-5,1196.3301395347387,4.2178674E-4,-0.016474737,0.024442222
3285.863002708237,0.004245886,1482051,1.2561623E7,379.7016,50083.93,56.581913,1.2583628E7,383.438,0,,,,,710.1573143793906,2.7675354E-5,1196.34352734019,4.211645E-4,-0.01471838,0.03192879
3285.8643916211718,0.004245911,1482052,1.2563929E7,379.73798,49962.01,56.644955,1.2575182E7,383.47473,0,,,,,710.1571157487188,2.7645403E-5,1196.3331028220923,4.217365E-4,-0.016102403,0.024182023
3285.86578053364,0.004245935,1482053,1.256463E7,379.74725,49979.082,56.62008,1.2583399E7,383.4841,0,,,,,710.1595890096088,2.7635224E-5,1196.3283231244802,4.2195042E-4,-0.012895261,0.019567018
3285.867169446575,0.0042459597,1482054,1.2563752E7,379.72708,49983.28,56.59165,1.2573491E7,383.4637,0,,,,,710.1559568905913,2.7637378E-5,1196.3423891142047,4.2191698E-4,-0.017474016,0.03156812
3285.86855835951,0.0042459844,1482055,1.2563852E7,379.7559,50043.023,56.755955,1.2570677E7,383.4928,0,,,,,710.1587866363041,2.7643277E-5,1196.3406558672864,4.2175475E-4,-0.013850334,0.029184647
3285.8699472719786,0.0042460086,1482056,1.2562054E7,379.69916,50029.0,56.567314,1.2587138E7,383.43552,0,,,,,710.158596094797,2.7646902E-5,1196.3362185550886,4.2169023E-4,-0.014086394,0.023627428
3285.8713361849136,0.0042460333,1482057,1.2563642E7,379.72433,50125.64,56.578434,1.2571448E7,383.4609,0,,,,,710.1575461027388,2.7637681E-5,1196.3322802975183,4.2187583E-4,-0.014967909,0.02418947
3285.8727250978486,0.004246058,1482058,1.2560924E7,379.69205,50136.094,56.58451,1.2586566E7,383.42834,0,,,,,710.1526462675826,2.7686896E-5,1196.3412092485335,4.2091846E-4,-0.019951325,0.028121425
3285.8741140103175,0.004246082,1482059,1.2561851E7,379.7097,50147.312,56.63903,1.2568353E7,383.44617,0,,,,,710.162539804785,2.7654996E-5,1196.3367005008238,4.2142373E-4,-0.00998929,0.02657488
3285.8755029232525,0.004246107,1482060,1.256456E7,379.73605,50012.76,56.581165,1.2579063E7,383.47275,0,,,,,710.1533417869523,2.7636406E-5,1196.327840927689,4.21915E-4,-0.018884271,0.022028599
3285.876891836187,0.0042461315,1482061,1.2562202E7,379.71332,50100.754,56.618866,1.2577556E7,383.44983,0,,,,,710.159892520272,2.7663755E-5,1196.3369140001726,4.213049E-4,-0.012811127,0.027534133
3285.878280748656,0.0042461557,1482062,1.2563638E7,379.71942,49870.633,56.545074,1.256257E7,383.456,0,,,,,710.1564477699127,2.7640204E-5,1196.3340636194234,4.2180932E-4,-0.016620833,0.023979403
3285.879669661589,0.0042461804,1482063,1.2563883E7,379.72806,50035.344,56.586346,1.2570628E7,383.4647,0,,,,,710.155264759662,2.7647146E-5,1196.3345596119586,4.217162E-4,-0.01722061,0.026648788
3285.881058574523,0.004246205,1482064,1.2563394E7,379.7207,50044.33,56.5674,1.2592457E7,383.45724,0,,,,,710.160825357997,2.7641794E-5,1196.3378751722685,4.2174305E-4,-0.010938528,0.02516584
3285.8824474869925,0.0042462293,1482065,1.2561631E7,379.68582,49916.113,56.516186,1.2578816E7,383.42203,0,,,,,710.1584515212065,2.7663848E-5,1196.335414440618,4.213167E-4,-0.014127159,0.028464923
3285.883836399927,0.004246254,1482066,1.2562479E7,379.71432,50126.082,56.60049,1.2578047E7,383.45084,0,,,,,710.1526349825973,2.767195E-5,1196.3263044590462,4.2123088E-4,-0.019711997,0.019685317
3285.8852253123964,0.004246278,1482067,1.2564279E7,379.75458,49948.008,56.72616,1.2570583E7,383.4915,0,,,,,710.1589494202549,2.7639444E-5,1196.335993226407,4.2177443E-4,-0.013095001,0.028675975
3285.8866142253314,0.004246303,1482068,1.2561991E7,379.71356,50074.805,56.657677,1.2560914E7,383.45007,0,,,,,710.1556626458514,2.7664844E-5,1196.3323926437076,4.213229E-4,-0.016546318,0.026622038
3285.8880031382655,0.0042463276,1482069,1.2562193E7,379.70337,49942.582,56.568893,1.2567654E7,383.43976,0,,,,,710.1531886119742,2.7672195E-5,1196.3381610454828,4.2117212E-4,-0.01917941,0.029416032
3285.889392050735,0.004246352,1482070,1.2562339E7,379.71994,50166.85,56.663334,1.2578824E7,383.45648,0,,,,,710.1614841844477,2.7651291E-5,1196.3370088091935,4.215295E-4,-0.010373385,0.02595949
3285.89078096367,0.0042463765,1482071,1.2563328E7,379.71265,50042.586,56.542583,1.2561203E7,383.44916,0,,,,,710.1552253498348,2.7640612E-5,1196.3306645549455,4.217819E-4,-0.016960256,0.02418666
3285.8921698761383,0.0042464007,1482072,1.2563306E7,379.72415,50128.12,56.599224,1.2573654E7,383.46075,0,,,,,710.1572840417949,2.7660551E-5,1196.3333355977556,4.2135667E-4,-0.015200369,0.022741973
3285.893558789073,0.0042464253,1482073,1.2563527E7,379.73065,50162.3,56.592068,1.2564749E7,383.46732,0,,,,,710.1578519061661,2.7635355E-5,1196.3417276460282,4.218976E-4,-0.014866838,0.031326067
3285.894947702008,0.00424645,1482074,1.2563297E7,379.72687,50165.773,56.609898,1.2568189E7,383.4635,0,,,,,710.158514172418,2.7659717E-5,1196.3360530644795,4.213457E-4,-0.014102506,0.028366044
3285.896336614477,0.0042464742,1482075,1.256218E7,379.72736,50034.164,56.714134,1.2562218E7,383.464,0,,,,,710.1563801895086,2.7651262E-5,1196.33125387064,4.215473E-4,-0.016030865,0.024358936
3285.8977255274112,0.004246499,1482076,1.2565057E7,379.7664,49924.305,56.735126,1.2572276E7,383.50336,0,,,,,710.1573018614539,2.7636648E-5,1196.3322280392827,4.218359E-4,-0.014301593,0.023404475
3285.8991144398806,0.004246523,1482077,1.2563429E7,379.72223,50051.953,56.56343,1.2565537E7,383.4588,0,,,,,710.1549328617826,2.7653248E-5,1196.3381566221285,4.2156214E-4,-0.017031388,0.029384762
3285.9005033528156,0.004246548,1482078,1.2564089E7,379.71997,49979.258,56.53282,1.2567876E7,383.4565,0,,,,,710.1560627090983,2.763378E-5,1196.329638129014,4.2187472E-4,-0.016346386,0.02219673
3285.901892265284,0.004246572,1482079,1.256198E7,379.7183,50132.51,56.675465,1.2563832E7,383.45483,0,,,,,710.1590202433377,2.7657885E-5,1196.3379640830426,4.2140263E-4,-0.012868484,0.025624976
3285.903281178219,0.0042465967,1482080,1.2560939E7,379.6901,50036.246,56.599106,1.256504E7,383.42633,0,,,,,710.1544543039146,2.7673137E-5,1196.3338375681162,4.210772E-4,-0.017615004,0.026839612
3285.904670091154,0.0042466214,1482081,1.2560804E7,379.6837,50082.434,56.57085,1.2572827E7,383.4199,0,,,,,710.1594245120419,2.7671516E-5,1196.3381150522237,4.2107163E-4,-0.013200572,0.027776694
3285.9060590036224,0.0042466456,1482082,1.2563134E7,379.72592,50004.83,56.644623,1.2574101E7,383.46255,0,,,,,710.1558524212339,2.7641065E-5,1196.3309039334115,4.2173898E-4,-0.016237134,0.02271327
3285.9074479165565,0.0042466703,1482083,1.2557243E7,379.64752,50111.89,56.67982,1.2580112E7,383.38336,0,,,,,710.1577842741582,2.7710672E-5,1196.3321968864211,4.202119E-4,-0.014543327,0.025327228
3285.908836829026,0.0042466945,1482084,1.2563331E7,379.74222,50121.844,56.704144,1.2579032E7,383.479,0,,,,,710.1574596804161,2.7642862E-5,1196.3371396132445,4.2172574E-4,-0.015037737,0.025076594
3285.910225741961,0.004246719,1482085,1.2563822E7,379.7404,50195.09,56.670033,1.2570754E7,383.47714,0,,,,,710.1580802677855,2.763474E-5,1196.3425160911127,4.2186602E-4,-0.0140733775,0.031882577
3285.9116146544293,0.0042467434,1482086,1.2563573E7,379.72662,50115.72,56.59758,1.2581648E7,383.46326,0,,,,,710.1544705713642,2.7646329E-5,1196.3243362712583,4.2166084E-4,-0.018113865,0.018959384
3285.9130035673643,0.004246768,1482087,1.2563219E7,379.71927,50054.137,56.592373,1.2575837E7,383.4558,0,,,,,710.1583815797852,2.7636876E-5,1196.336696764255,4.218173E-4,-0.013970726,0.030004153
3285.9143924798336,0.0042467923,1482088,1.2563577E7,379.7166,49972.797,56.54666,1.2573376E7,383.4531,0,,,,,710.1558939991729,2.7646818E-5,1196.3256521462542,4.2161558E-4,-0.016239485,0.019064667
3285.915781392768,0.004246817,1482089,1.2562397E7,379.70175,50067.973,56.52208,1.2581378E7,383.43814,0,,,,,710.1574007778612,2.7665315E-5,1196.3433233512,4.212808E-4,-0.014807735,0.03259254
3285.9171703052366,0.004246841,1482090,1.2563211E7,379.727,50142.55,56.582794,1.25741E7,383.46362,0,,,,,710.1591882106821,2.7635575E-5,1196.3262155302243,4.218819E-4,-0.012954178,0.01768729
3285.9185592181716,0.004246866,1482091,1.256306E7,379.72894,50079.83,56.64225,1.256029E7,383.46555,0,,,,,710.1549399023046,2.7643011E-5,1196.3448978405804,4.2175414E-4,-0.017444087,0.033304565
3285.919948130641,0.00424689,1482092,1.256431E7,379.7346,50038.668,56.53829,1.2574737E7,383.4713,0,,,,,710.1571890623463,2.7639686E-5,1196.3274209987446,4.2181532E-4,-0.014984118,0.022978459
3285.921337043575,0.0042469148,1482093,1.2562149E7,379.71188,50156.336,56.64269,1.2581988E7,383.44833,0,,,,,710.1591006221844,2.7662141E-5,1196.3292805935673,4.212346E-4,-0.013138641,0.020370707
3285.9227259560444,0.004246939,1482094,1.256258E7,379.715,50096.01,56.608097,1.2560715E7,383.4515,0,,,,,710.1598755780644,2.7646398E-5,1196.3422128586499,4.215326E-4,-0.012757754,0.031758264
3285.924114868979,0.0042469637,1482095,1.2561852E7,379.69205,50021.37,56.54166,1.2581608E7,383.42834,0,,,,,710.156824610528,2.76452E-5,1196.33147043485,4.216602E-4,-0.016306834,0.024248509
3285.9255037814464,0.004246988,1482096,1.2562175E7,379.69913,50110.086,56.543625,1.2576058E7,383.43546,0,,,,,710.1558666242623,2.7642234E-5,1196.3322739228054,4.217097E-4,-0.016011395,0.024179304
